0,1,300,1
3,6,300,5
4,6,300,8
5,6,900,7
7,18,900,3
8,18,900,1
9,18,900,5
10,18,600,2
11,18,900,10
12,18,600,1
13,18,900,3
14,18,300,10
15,18,900,10
16,18,600,1
17,18,900,1
19,37,900,10
20,37,300,3
21,37,300,5
22,37,900,9
23,37,300,4
24,37,300,3
25,37,600,10
26,37,600,1
27,37,300,1
28,37,300,6
29,37,600,4
30,37,600,9
31,37,600,6
32,37,900,9
33,37,300,3
34,37,900,1
35,37,300,6
36,37,900,3
38,45,900,8
39,45,900,6
40,45,600,8
41,45,600,8
42,45,300,8
43,45,900,9
44,45,900,4
47,49,600,4
48,49,300,10
51,59,600,5
52,59,300,3
53,59,300,4
54,59,600,3
55,59,900,2
56,59,300,6
57,59,900,2
58,59,600,6
60,62,300,10
61,62,300,1
64,68,600,4
65,68,900,9
66,68,300,7
67,68,900,7
69,71,300,1
70,71,900,7
72,74,900,7
73,74,300,1
75,94,900,8
76,94,300,3
77,94,900,7
78,94,600,8
79,94,600,9
80,94,900,10
81,94,300,2
82,94,900,9
83,94,600,7
84,94,300,9
85,94,600,2
86,94,300,10
87,94,600,9
88,94,300,2
89,94,300,8
90,94,600,8
91,94,600,4
92,94,600,9
93,94,900,4
95,112,300,2
96,112,300,3
97,112,600,1
98,112,600,7
99,112,600,2
100,112,900,9
101,112,900,6
102,112,300,1
103,112,300,5
104,112,900,4
105,112,300,5
106,112,300,8
107,112,600,8
108,112,900,1
109,112,300,4
110,112,600,1
111,112,900,9
113,122,900,4
114,122,900,3
115,122,300,8
116,122,300,9
117,122,300,9
118,122,900,8
119,122,300,2
120,122,900,7
121,122,300,3
123,125,900,3
124,125,600,1
126,127,900,2
128,132,900,5
129,132,900,1
130,132,300,1
131,132,300,5
133,135,900,2
134,135,300,2
136,149,600,6
137,149,600,1
138,149,900,5
139,149,600,6
140,149,900,10
141,149,300,1
142,149,900,7
143,149,600,1
144,149,900,6
145,149,900,5
146,149,600,2
147,149,300,2
148,149,300,7
150,155,600,8
151,155,300,8
152,155,300,9
153,155,300,7
154,155,600,3
156,159,900,10
157,159,600,1
158,159,300,3
160,163,600,8
161,163,600,3
162,163,300,2
164,165,900,9
166,168,900,2
167,168,900,7
169,171,300,6
170,171,300,4
172,181,600,4
173,181,600,5
174,181,900,5
175,181,600,10
176,181,300,3
177,181,600,2
178,181,900,2
179,181,600,7
180,181,600,8
182,186,300,3
183,186,900,2
184,186,300,9
185,186,300,2
187,189,900,9
188,189,300,9
190,193,600,2
191,193,600,8
192,193,600,7
194,201,600,3
195,201,300,3
196,201,600,7
197,201,900,2
198,201,900,7
199,201,900,6
200,201,600,3
202,207,300,1
203,207,600,8
204,207,600,7
205,207,900,6
206,207,300,9
208,226,300,8
209,226,900,10
210,226,300,7
211,226,300,9
212,226,900,2
213,226,600,4
214,226,300,9
215,226,600,4
216,226,600,9
217,226,600,2
218,226,300,8
219,226,300,10
220,226,600,5
221,226,600,5
222,226,300,2
223,226,300,5
224,226,300,5
225,226,300,2
227,238,300,9
228,238,900,4
229,238,300,4
230,238,600,3
231,238,300,1
232,238,900,3
233,238,600,2
234,238,600,6
235,238,300,6
236,238,600,8
237,238,600,1
241,243,900,1
242,243,600,8
244,249,600,6
245,249,300,2
246,249,600,6
247,249,600,7
248,249,900,1
250,251,600,2
253,260,900,10
254,260,300,7
255,260,900,8
256,260,600,4
257,260,900,7
258,260,300,10
259,260,900,3
261,268,300,9
262,268,900,1
263,268,300,3
264,268,300,7
265,268,600,4
